number,type,title,description,meta,status,detail_chars,file
"1","GUIDE","Amino Acids & Protein Structure","Amino acids are the monomers of proteins, and their side chain chemistry dictates how a polypeptide folds and functions. The MCAT tests this topic heavily because it links acid-base chemistry (pKa, pI, charge), structural biology (the four levels of structure), and biochemistry (enzyme active sites, denaturation) into one integrated, predictable framework.","~32 min · 6 sections · cheat sheet","exported","26925","items/001-guide-amino-acids-and-protein-structure.md"
"2","GUIDE","Enzyme Kinetics & Inhibition","Enzyme kinetics quantifies how fast enzymes convert substrate to product and how that rate changes with substrate concentration, captured by the Michaelis Menten model (Km, Vmax). The MCAT loves this topic because it fuses biochemistry, graph reading, and algebra: you must predict how competitive, noncompetitive, uncompetitive, and allosteric regulators shift Km and Vmax on both hyperbolic and Lineweaver Burk plots.","~28 min · 7 sections · cheat sheet","exported","23409","items/002-guide-enzyme-kinetics-and-inhibition.md"
"3","GUIDE","Glycolysis","Glycolysis is the universal, cytosolic pathway that splits one glucose into two pyruvate, netting 2 ATP and 2 NADH. The MCAT tests it because it integrates enzyme kinetics, thermodynamics, allosteric regulation, and metabolic crossroads, and because PFK-1 control and pyruvate's fates appear constantly in passages.","~28 min · 7 sections · cheat sheet","exported","23016","items/003-guide-glycolysis.md"
"4","GUIDE","Citric Acid Cycle & Oxidative Phosphorylation","The citric acid cycle (TCA/Krebs cycle) and oxidative phosphorylation are how aerobic cells extract most of the ATP from glucose, fats, and amino acids: high energy electrons are stripped onto carriers, passed down an electron transport chain, and used to build a proton gradient that drives ATP synthase. The MCAT loves this topic because it integrates thermodynamics, redox chemistry, membrane transport, and metabolic regulation, and because inhibitor and uncoupler experiments test whether you truly understand the chemiosmotic mechanism rather than just memorizing yields.","~28 min · 7 sections · cheat sheet","exported","23634","items/004-guide-citric-acid-cycle-and-oxidative-phosphorylation.md"
"5","GUIDE","DNA Replication & Repair","DNA replication is the semiconservative, enzyme-driven copying of the genome that precedes cell division, and DNA repair safeguards the fidelity of that copy. The MCAT tests the directionality of synthesis, the division of labor among replication enzymes, the leading/lagging strand asymmetry, and the layered proofreading and repair systems that keep mutation rates extraordinarily low.","~28 min · 7 sections · cheat sheet","exported","30449","items/005-guide-dna-replication-and-repair.md"
"6","GUIDE","Transcription & Translation","Transcription and translation are the two steps of the central dogma that convert a DNA gene into a functional protein, and the MCAT tests every checkpoint, from RNA polymerase and splicing to codon reading, ribosome mechanics, and post-translational modification. Mastering the prokaryote-versus-eukaryote differences and the genetic code's rules is essential for both standalone and passage questions.","~28 min · 7 sections · cheat sheet","exported","24821","items/006-guide-transcription-and-translation.md"
"7","GUIDE","Cell membranes & transport","The cell membrane is a selectively permeable phospholipid bilayer that controls what enters and leaves the cell, and the MCAT tests how its structure dictates transport, from passive diffusion and osmosis to ATP-driven pumps that build the ion gradients underlying membrane potential. Mastering tonicity, the difference between channels and carriers, and the Nernst/electrochemical logic of membrane potential pays off across biology, biochemistry, and physiology passages.","~28 min · 7 sections · cheat sheet","exported","27162","items/007-guide-cell-membranes-and-transport.md"
"8","GUIDE","Endocrine & Hormonal Signaling","The endocrine system uses blood-borne hormones to coordinate slow, widespread, long-lasting physiological responses; the MCAT tests it heavily because it ties together cell signaling, feedback control, metabolism, and physiology. Master the peptide-vs-steroid distinction, second messenger cascades, feedback loops, and the major glands and their hormones, and you can reason through most endocrine passages.","~35 min · 7 sections · cheat sheet","exported","35536","items/008-guide-endocrine-and-hormonal-signaling.md"
"9","GUIDE","Mendelian Genetics & Inheritance","Mendelian genetics describes how discrete units of heredity (genes) pass from parents to offspring through the laws of segregation and independent assortment, and how we predict trait ratios using Punnett squares, pedigrees, linkage maps, and the Hardy-Weinberg equation. The MCAT tests it heavily because it integrates probability, meiosis, biochemistry (alleles to proteins to phenotypes), and population genetics into quantitative problems you must solve quickly and accurately.","~34 min · 7 sections · cheat sheet","exported","29642","items/009-guide-mendelian-genetics-and-inheritance.md"
"10","GUIDE","Electrochemistry","Electrochemistry connects redox chemistry to energy, linking electron transfer to measurable voltage, free energy, and equilibrium. The MCAT tests it because it ties together thermodynamics (ΔG, K), the directionality of electron flow, and quantitative problem solving across galvanic and electrolytic cells.","~28 min · 8 sections · cheat sheet","exported","22809","items/010-guide-electrochemistry.md"
"11","GUIDE","Thermodynamics","Thermodynamics is the study of energy, heat, and the direction in which processes spontaneously proceed. The MCAT tests it constantly because it ties together chemistry, physics, and biochemistry, predicting whether reactions happen, how cells power unfavorable processes, and how to compute energies from tabulated data.","~28 min · 7 sections · cheat sheet","exported","23159","items/011-guide-thermodynamics.md"
"12","GUIDE","Acid Base Chemistry & Buffers","Acid base chemistry governs proton transfer, pH, and the buffering that stabilizes biological and chemical systems; the MCAT tests it through pH/pKa reasoning, Henderson Hasselbalch buffer calculations, titration-curve interpretation, and polyprotic/amino acid behavior because these concepts recur across general chemistry, biochemistry, and physiology passages.","~28 min · 7 sections · cheat sheet","exported","22985","items/012-guide-acid-base-chemistry-and-buffers.md"
"13","GUIDE","Chemical Kinetics","Chemical kinetics is the study of how fast reactions go and what controls that speed, rate laws, reaction order, mechanisms, activation energy, and catalysts. The MCAT tests it because it ties together experimental data interpretation, the rate determining step (central to enzyme and physiology questions), and the crucial distinction between how fast a reaction proceeds (kinetics) versus whether it is favorable (thermodynamics).","~28 min · 8 sections · cheat sheet","exported","23088","items/013-guide-chemical-kinetics.md"
"14","GUIDE","Chemical Equilibrium","Chemical equilibrium describes the dynamic state where forward and reverse reaction rates are equal, governed by the equilibrium constant K. The MCAT tests it constantly because it ties kinetics, thermodynamics, acid-base, and solubility together, and because Le Chatelier and Ksp problems reward fast, accurate conceptual reasoning under time pressure.","~26 min · 7 sections · cheat sheet","exported","20668","items/014-guide-chemical-equilibrium.md"
"15","GUIDE","Gases & Gas Laws","Gases are the most mathematically tractable phase, so the MCAT leans on them heavily: the ideal gas law and its corollaries let you predict P, V, T, and n in dozens of disguises, while kinetic molecular theory explains why those laws work and exactly when they break. Expect partial-pressure problems, effusion ratios, gas-density identification, and ""is this gas behaving ideally?"" reasoning on test day.","~26 min · 7 sections · cheat sheet","exported","22552","items/015-guide-gases-and-gas-laws.md"
"16","GUIDE","Fluids & Hydrostatics","Fluids and hydrostatics covers how liquids and gases exert pressure, why objects float or sink, and how fluids move through pipes and vessels. The MCAT tests this heavily because it underlies blood flow, breathing, IV drips, and lab techniques, and because it rewards conceptual reasoning with units rather than heavy computation.","~28 min · 7 sections · cheat sheet","exported","23660","items/016-guide-fluids-and-hydrostatics.md"
"17","GUIDE","Circuits & Electricity","Circuits translate the abstract physics of charge and potential into concrete, calculable systems, and the MCAT tests them because they reward methodical reasoning and reappear in physiology (nerve conduction, membrane potentials, the heart as a circuit). You must fluently combine Ohm's law, series/parallel rules for resistors and capacitors, the power relationships, and Kirchhoff's two laws.","~28 min · 7 sections · cheat sheet","exported","23030","items/017-guide-circuits-and-electricity.md"
"18","GUIDE","Waves, Sound & Optics","Waves, sound, and optics package a handful of equations (v = fλ, Snell's law, the thin-lens/mirror equations) into rich quantitative and conceptual problems. The MCAT tests them because they connect to hearing, ultrasound, fiber optics, and the eye, and because sign conventions and the Doppler effect reliably trip students up.","~28 min · 6 sections · cheat sheet","exported","22485","items/018-guide-waves-sound-and-optics.md"
"19","GUIDE","Learning & Conditioning","Learning is a relatively permanent change in behavior due to experience, and the MCAT tests the two associative-learning frameworks (classical and operant conditioning) plus observational and cognitive learning in detail. Expect questions that force you to label the four reinforcement/punishment quadrants, predict the response patterns of different reinforcement schedules, and distinguish extinction from related phenomena like spontaneous recovery.","~28 min · 7 sections · cheat sheet","exported","28136","items/019-guide-learning-and-conditioning.md"
"20","GUIDE","Memory","Memory is the set of processes by which information is encoded, stored, and retrieved, and the MCAT tests it through the multi-store model, memory types, forgetting mechanisms, and the neurobiology of memory. Expect questions that link experimental findings (the forgetting curve, the serial position effect, interference) to underlying processes and brain structures.","~22 min · 7 sections · cheat sheet","exported","25010","items/020-guide-memory.md"
"21","GUIDE","Sensation & Perception","Sensation is how receptors detect physical stimuli and convert them into neural signals (transduction), while perception is how the brain organizes and interprets those signals. The MCAT tests this topic heavily because it bridges psychology and physiology, demands quantitative reasoning (Weber's law, signal detection theory), and rewards precise vocabulary distinctions like sensation vs. perception, bottom-up vs. top-down, and sensitivity vs. response bias.","~22 min · 7 sections · cheat sheet","exported","24735","items/021-guide-sensation-and-perception.md"
"22","GUIDE","Motivation & Emotion","Motivation explains why behavior is initiated, directed, and sustained, while emotion is the brief, multi-component response to a personally significant stimulus; the MCAT tests these together because they share physiological substrates (the limbic system and autonomic nervous system) and because the major theories, drive-reduction, arousal, incentive, Maslow, and the four classic emotion theories, are favorite passage and discrete targets.","~24 min · 7 sections · cheat sheet","exported","29023","items/022-guide-motivation-and-emotion.md"
"23","GUIDE","Social Psychology: Attitudes & Influence","Social psychology studies how people perceive, influence, and relate to others, covering how we explain behavior (attribution), how we resolve the discomfort of inconsistent beliefs (cognitive dissonance), and how groups change individual thought and action (conformity, obedience, persuasion, group dynamics). The MCAT tests these because they tie classic experiments to real-world scenarios and demand that you distinguish closely related, easily confused terms.","~30 min · 5 sections · cheat sheet","exported","27585","items/023-guide-social-psychology-attitudes-and-influence.md"
"24","GUIDE","Psychological Disorders","Psychological disorders cover how abnormal behavior is defined, classified (DSM-5), and explained through competing models, with detailed symptom profiles and biological correlates for mood, anxiety, and psychotic disorders. The MCAT tests this because it integrates biology (neurotransmitters), psychology (symptoms/criteria), and sociology (stigma, epidemiology, cultural context).","~28 min · 7 sections · cheat sheet","exported","32781","items/024-guide-psychological-disorders.md"
"25","GUIDE","Social Structure & Stratification","Social structure is the patterned web of institutions, statuses, and roles that organizes society and distributes resources unequally; the MCAT tests how the three major sociological theories explain it, how stratification and mobility work, and how demographic forces shape populations and health. Expect passage questions that ask you to apply a theoretical lens or interpret stratification and population data.","~28 min · 6 sections · cheat sheet","exported","28163","items/025-guide-social-structure-and-stratification.md"
"26","GUIDE","CARS: Main Idea & Author's Purpose","The main idea is the single claim the whole passage exists to advance, and the author's purpose is what the author is trying to DO with that claim; nearly every CARS passage has at least one question that rewards readers who can state both in one sentence. The MCAT tests this because CARS measures comprehension and reasoning over unfamiliar humanities and social-science prose rather than recall of any subject knowledge.","~22 min · 6 sections · cheat sheet","exported","25727","items/026-guide-cars-main-idea-and-author-s-purpose.md"
"27","GUIDE","CARS: Inference & Extrapolation","Inference and extrapolation questions ask you to go one logical step beyond what the passage literally says, without ever leaving the author's territory. The MCAT tests whether you can separate what MUST be true from what merely COULD be true, rewarding the answer that is fully supported by the text while punishing answers that are too extreme, out of scope, or subtly distorted.","~22 min · 7 sections · cheat sheet","exported","26547","items/027-guide-cars-inference-and-extrapolation.md"
"28","GUIDE","CARS: Tone, Attitude & Rhetoric","CARS rewards readers who can hear an author's voice, detecting tone and attitude from diction, tracking where opinions shift, and recognizing the rhetorical moves authors use to argue. The MCAT tests this because nearly every passage has questions that hinge on what the author thinks (and how strongly), and on telling the author's view apart from the views the author merely reports or from your own reaction.","~22 min · 7 sections · cheat sheet","exported","23289","items/028-guide-cars-tone-attitude-and-rhetoric.md"
"29","GUIDE","CARS: Strengthen, Weaken & Application","Reasoning-beyond-the-text questions (strengthen, weaken, and application/extrapolation) ask you to take the author's argument and project it outward, supporting it, undermining it, or applying its logic to a brand-new situation. The MCAT tests this because it measures whether you grasped the argument's structure, not just its words; these are among the most missable CARS questions and reward a disciplined predict-then-match approach.","~22 min · 6 sections · cheat sheet","exported","20939","items/029-guide-cars-strengthen-weaken-and-application.md"
"30","GUIDE","The Nervous System and Action Potentials","Neurons encode and transmit information as electrical signals built from ion gradients across their membranes. This guide traces the full pathway, from the resting potential and the all-or-none action potential, through refractory periods and saltatory conduction, to chemical synaptic transmission, postsynaptic integration, and the large-scale organization of the nervous system.","~31 min · 7 sections · cheat sheet","exported","28394","items/030-guide-the-nervous-system-and-action-potentials.md"
"31","GUIDE","The Cardiovascular System","A complete tour of the cardiovascular system covering heart anatomy and the cardiac cycle, the electrical conduction system, hemodynamics and cardiac output, blood vessels and capillary exchange, blood composition and gas transport, and the reflexes and hormones that regulate blood pressure. Emphasis is on the quantitative relationships and common traps the MCAT tests.","~29 min · 6 sections · cheat sheet","exported","24772","items/031-guide-the-cardiovascular-system.md"
"32","GUIDE","The Respiratory System","The respiratory system ventilates the lungs for gas exchange, carries oxygen and carbon dioxide in the blood, and helps regulate blood pH. This guide covers airway anatomy, the mechanics of breathing, lung volumes, gas exchange and transport, and the neural control of ventilation.","~30 min · 6 sections · cheat sheet","exported","20793","items/032-guide-the-respiratory-system.md"
"33","GUIDE","The Renal System and Osmoregulation","How the kidney filters blood at the glomerulus, fine-tunes that filtrate through tubular reabsorption and secretion, and uses the loop of Henle countercurrent multiplier together with hormones (ADH, aldosterone, RAAS, ANP) to regulate water balance, electrolytes, blood pressure, and acid-base status.","~31 min · 6 sections · cheat sheet","exported","25460","items/033-guide-the-renal-system-and-osmoregulation.md"
"34","GUIDE","Carbohydrate Metabolism: Glycogen and Gluconeogenesis","How the body stores and rebuilds glucose: glycogen synthesis and breakdown, their hormonal and allosteric control, and gluconeogenesis from non-carbohydrate precursors. Emphasis on the liver-versus-muscle division of labor and the reciprocal regulation that keeps storage and production from running at once.","~28 min · 6 sections · cheat sheet","exported","17917","items/034-guide-carbohydrate-metabolism-glycogen-and-gluconeogenesis.md"
